         Course             Faculty           Room       Day      Slot          Batch         Branch
          SC107                 SB2            211         3         2    BTech Sem-1             CS
          EL111                 RLD            003         4         4    BTech Sem-1             CS
          IT112                  MK            211         2         3    BTech Sem-1        CS, EVD
          PC110                  AM            203         2         1    BTech Sem-1   CS, MnC, EVD
          EL111                  BM            110         2         2    BTech Sem-1            EVD
          ED111                 PK2            210         4         3    BTech Sem-1            EVD
          ED112                  AG            202         4         4    BTech Sem-1            EVD
          SC107                 MKG            102         2         2    BTech Sem-1            ICT
          PC110                  AM            212         3         1    BTech Sem-1            ICT
          EL111                  SM            209         3         2    BTech Sem-1            ICT
          IT112                  BG            104         4         1    BTech Sem-1            ICT
          IC101                 AKR            209         5         4    BTech Sem-1        ICT, CS
          IT113         PhD student          LT-02         5         3    BTech Sem-1   ICT, CS, EVD
          MC113         PhD student            204         2         2    BTech Sem-1            MnC
          MC112                  RP            212         2         4    BTech Sem-1            MnC
          MC111                  VS            102         3         2    BTech Sem-1            MnC
          MC116                  SR            205         4         2    BTech Sem-1            MnC
          MC123                  SP          LT-03         5         1    BTech Sem-1            MnC
          IT216                  SP            210         1         2    BTech Sem-3             CS
          IT227                  SB            003         3         3    BTech Sem-3             CS
          SC223                  AT            212         4         2    BTech Sem-3             CS
          CT204                  PK            003         5         3    BTech Sem-3             CS
          IT227                 AKM            107         1         2    BTech Sem-3            ICT
          SC223                  RM            105         1         3    BTech Sem-3            ICT
          CT204                  HP            108         3         4    BTech Sem-3            ICT
          IT216                  PB            003         5         1    BTech Sem-3            ICT
          HM216                  SJ            003         4         1    BTech Sem-3   ICT, CS, MnC
          MC212                  RC            104         1         2    BTech Sem-3            MnC
          MC213                 AT2            205         1         4    BTech Sem-3            MnC
          MC211                  MS            205         3         4    BTech Sem-3            MnC
          MC216                  SK            105         4         4    BTech Sem-3            MnC
          MC214                  SS            207         5         4    BTech Sem-3            MnC
          CS374                 MKR            203         1         3    BTech Sem-5             CS
          CT303                 DKG            110         2         3    BTech Sem-5             CS
          CT303                  AJ          LT-03         4         4    BTech Sem-5            ICT
          IE402                 MK2            207         1         2    BTech Sem-5        ICT, CS
          IE408                 RLD            108         2         1    BTech Sem-5        ICT, CS
          IE406                 MVJ            212         3         2    BTech Sem-5        ICT, CS
          IT304                 PKS            107         3         3    BTech Sem-5        ICT, CS
          IE411                  SS            102         4         1    BTech Sem-5        ICT, CS
          IE407                 VSP            106         5         1    BTech Sem-5        ICT, CS
          IT314                  ST            209         5         3    BTech Sem-5        ICT, CS
          MC312                  MT            102         1         3    BTech Sem-5            MnC
          MC314                  GS            209         2         1    BTech Sem-5            MnC
          MC311                 NKS            103         2         3    BTech Sem-5            MnC
          MC313                 PK3            210         5         3    BTech Sem-5            MnC

This output contains an individual course assigned once in a week.
